title,type,rated,year,added_at,genre,language,country,imdb_rating
Bluey,series,TV-Y,2018–,"January 22, 2020",Animation,English,"Australia, UK",9.7
Bolt,movie,PG,2008,"November 12, 2019","Animation, Adventure, Comedy, Drama, Family",English,USA,6.8
Bonkers,series,TV-Y,1993–1994,"November 12, 2019","Animation, Action, Adventure, Comedy, Crime, Family",English,USA,6.8
Boundin',movie,G,2003,"November 12, 2019","Animation, Short, Comedy, Family, Musical",English,USA,7.0
Boy Meets World,series,TV-G,1993–2000,"November 12, 2019","Comedy, Drama, Family",English,USA,8.1
Brain Games,series,TV-G,2011–,"November 12, 2019","Documentary, Comedy, Drama, Game-Show, Reality-TV",English,USA,8.3
Brave,movie,PG,2012,"November 12, 2019","Animation, Adventure, Comedy, Family, Fantasy",English,"USA, UK",7.1
The Brave Little Toaster to the Rescue,movie,Not Rated,1997,"November 12, 2019","Animation, Adventure, Family, Fantasy","Chinese, Mandarin, Japanese, Korean, French, English",USA,6.3
Brink!,movie,TV-G,1998,"November 12, 2019","Drama, Family, Sport",English,USA,7.1
Brother Bear,movie,G,2003,"November 12, 2019","Animation, Adventure, Comedy, Family, Fantasy","English, Inuktitut, Croatian, Serbian",USA,6.8
Brother Bear 2,movie,G,2006,"November 12, 2019","Animation, Adventure, Comedy, Family, Fantasy",English,USA,6.2
Buffalo Dreams,movie,G,2005,"November 12, 2019",Family,English,USA,5.8
Burn-E,movie,G,2008,"November 12, 2019","Animation, Short, Adventure, Comedy, Family, Sci-Fi",English,USA,7.7
Cadet Kelly,movie,TV-G,2002,"November 12, 2019","Comedy, Drama, Family",English,"USA, Canada",5.5
Camp Nowhere,movie,PG,1994,"November 12, 2019","Adventure, Comedy, Family",English,USA,6.1
Camp Rock,movie,TV-G,2008,"November 12, 2019","Comedy, Family, Music, Musical, Romance","English, Portuguese",USA,5.2
Camp Rock 2: The Final Jam,movie,TV-G,2010,"November 12, 2019","Comedy, Family, Music, Musical, Romance",English,USA,5.2
Can of Worms,movie,TV-PG,1999,"November 12, 2019","Comedy, Family, Sci-Fi",English,"USA, Canada",5.0
Candleshoe,movie,G,1977,"November 12, 2019","Adventure, Comedy, Drama, Family",English,"UK, USA",6.8
