title,type,rated,year,added_at,genre,language,country,imdb_rating
Holes,movie,PG,2003,"January 1, 2020","Adventure, Comedy, Drama, Family, Mystery",English,USA,7.0
Home Alone 3,movie,PG,1997,"November 12, 2019","Comedy, Crime, Family","English, Polish",USA,4.5
Home on the Range,movie,PG,2004,"November 12, 2019","Animation, Adventure, Comedy, Family, Music, Western","English, Mandarin",USA,5.3
Homeward Bound II: Lost in San Francisco,movie,G,1996,"May 1, 2020","Adventure, Comedy, Family, Romance",English,USA,5.9
Homeward Bound: The Incredible Journey,movie,G,1993,"May 1, 2020","Adventure, Comedy, Drama, Family",English,USA,6.9
"Honey, I Blew Up the Kid",movie,PG,1992,"November 12, 2019","Adventure, Comedy, Family, Romance, Sci-Fi",English,USA,4.8
"Honey, I Shrunk the Kids",movie,PG,1989,"November 12, 2019","Adventure, Comedy, Family, Sci-Fi",English,"USA, Mexico",6.3
"Honey, We Shrunk Ourselves!",movie,PG,1997,"November 12, 2019","Action, Adventure, Comedy, Family, Sci-Fi",English,USA,5.0
Horse Sense,movie,TV-G,1999,"November 12, 2019","Drama, Family",English,USA,6.2
Hounded,movie,TV-G,2001,"November 12, 2019","Comedy, Drama, Family",English,USA,5.1
How to Build a Better Boy,movie,TV-G,2014,"November 12, 2019","Comedy, Family, Sci-Fi","English, French",USA,5.5
How to Play Football,movie,Approved,1944,"April 3, 2020","Animation, Short, Comedy, Family, Sport",English,USA,7.2
Hulk and the Agents of S.M.A.S.H.,series,TV-Y7,2013–2015,"November 12, 2019","Animation, Action, Adventure, Comedy, Sci-Fi",English,USA,6.1
I'll Be Home for Christmas,movie,PG,1998,"November 12, 2019","Comedy, Family",English,"USA, Canada",5.5
Ice Age,movie,PG,2002,"March 1, 2020","Animation, Adventure, Comedy, Family, Fantasy",English,USA,7.5
Ice Age: The Great Egg-Scapade,movie,TV-PG,2016,"November 12, 2019","Animation, Short, Adventure, Comedy, Family",English,USA,5.9
Ice Princess,movie,G,2005,"November 12, 2019","Comedy, Drama, Family, Sport",English,"USA, Canada",6.0
In the Footsteps of Elephant,movie,G,2020,"April 3, 2020","Documentary, Adventure, Family",English,USA,8.1
Inside Out,movie,PG,2015,"November 12, 2019","Animation, Adventure, Comedy, Drama, Family, Fantasy",English,USA,8.2
Inspector Gadget,movie,PG,1999,"November 12, 2019","Action, Adventure, Comedy, Crime, Family, Sci-Fi","English, Norwegian, French, Spanish",USA,4.1
Inspector Gadget 2,movie,G,2003,"November 12, 2019","Action, Comedy, Crime, Family, Sci-Fi",English,USA,3.4
Invincible,movie,PG,2006,"November 12, 2019","Biography, Drama, Sport",English,USA,7.1
Invisible Sister,movie,TV-G,2015,"November 12, 2019","Adventure, Comedy, Family, Fantasy",English,USA,6.1
Iron Man,series,TV-Y7,1994–1996,"November 12, 2019","Animation, Action, Adventure, Sci-Fi",English,USA,6.7
Iron Man: Armored Adventures,series,TV-Y7,2008–2012,"November 12, 2019","Animation, Action, Adventure, Family, Fantasy, Sci-Fi",English,"Canada, USA, UK, France",6.5
Iron Will,movie,PG,1994,"November 12, 2019","Adventure, Family",English,USA,6.6
Jack,movie,PG-13,1996,"November 12, 2019","Comedy, Drama, Fantasy","English, Spanish",USA,5.8
Jack-Jack Attack,movie,Not Rated,2005,"November 12, 2019","Animation, Short, Adventure, Comedy, Family",English,USA,7.6
James and the Giant Peach,movie,PG,1996,"November 12, 2019","Animation, Adventure, Family, Fantasy, Musical",English,"UK, USA",6.7
Jane,movie,PG,2017,"November 12, 2019","Documentary, Biography",English,USA,7.8
Jessie,series,TV-G,2011–2015,"November 12, 2019","Comedy, Family",English,USA,5.9
John Carter,movie,PG-13,2012,"May 2, 2020","Action, Adventure, Sci-Fi",English,USA,6.6
Johnny Kapahala: Back on Board,movie,Not Rated,2007,"November 12, 2019","Comedy, Drama, Family, Sport",English,USA,5.5
Johnny Tsunami,movie,TV-G,1999,"November 12, 2019","Drama, Family, Sport",English,USA,6.3
Jonas Brothers: The 3D Concert Experience,movie,G,2009,"November 12, 2019","Documentary, Music",English,USA,1.5
Journey to the Center of the Earth,movie,Approved,1959,"November 12, 2019","Adventure, Family, Fantasy, Romance, Sci-Fi","English, Swedish, French, Italian, Russian",USA,7.0
Jump In!,movie,TV-G,2007,"November 12, 2019","Comedy, Drama, Family, Romance, Sport",English,USA,5.3
Jumping Ship,movie,TV-G,2001,"November 12, 2019","Family, Adventure, Comedy, Drama",English,"Australia, USA",6.2
Jungle 2 Jungle,movie,PG,1997,"November 12, 2019","Comedy, Family",English,"USA, France",5.2
Jungle Cat,movie,Approved,1960,"November 12, 2019","Documentary, Family",English,USA,7.4
Justin Morgan Had a Horse,movie,TV-G,1972,"October 1, 2019","Family, Drama, Western",English,USA,6.5
Kazaam,movie,PG,1996,"November 12, 2019","Comedy, Family, Fantasy, Musical",English,USA,3.0
Kickin' It,series,TV-Y7,2011–2015,"November 12, 2019","Action, Comedy, Family",English,USA,6.3
Kim Possible,movie,TV-G,2019,"November 12, 2019","Action, Adventure, Comedy",English,USA,3.6
Kim Possible: So the Drama,movie,TV-G,2005,"November 12, 2019","Animation, Action, Adventure, Comedy, Family, Fantasy, Sci-Fi",English,USA,7.1
Kitbull,movie,PG,2019,"November 12, 2019","Animation, Short, Drama, Family",English,USA,8.0
Kronk's New Groove,movie,G,2005,"November 12, 2019","Animation, Comedy, Family, Musical, Romance",English,USA,5.8
La Luna,movie,G,2011,"November 12, 2019","Animation, Short, Family, Fantasy",None,USA,8.0
Lab Rats,series,TV-Y7,2012–2016,"November 12, 2019","Action, Comedy, Family, Sci-Fi",English,USA,6.6
Lady and the Tramp,movie,PG,2019,"November 12, 2019","Adventure, Comedy, Drama, Family, Musical, Romance",English,USA,6.3
Lady and the Tramp,movie,G,1955,"November 12, 2019","Animation, Adventure, Comedy, Drama, Family, Romance",English,USA,7.3
Lady and the Tramp 2: Scamp's Adventure,movie,G,2001,"October 1, 2019","Animation, Adventure, Family, Musical, Romance",English,"USA, Australia",5.9
Lambert the Sheepish Lion,movie,Approved,1952,"April 3, 2020","Animation, Short, Comedy, Family",English,USA,7.7
Lego Frozen Northern Lights,series,TV-Y7,2016–,"November 12, 2019","Animation, Adventure, Comedy, Family, Fantasy",English,USA,5.7
Lego Star Wars: All-Stars,series,TV-Y7,2018–,"November 12, 2019","Animation, Action, Adventure, Comedy, Sci-Fi",English,USA,6.5
Lego Star Wars: The Freemaker Adventures,series,TV-Y7,2016–,"November 12, 2019","Animation, Action, Comedy, Fantasy, Sci-Fi",English,USA,7.5
Lemonade Mouth,movie,TV-PG,2011,"November 12, 2019","Comedy, Drama, Family, Music, Musical",English,USA,6.9
Lend a Paw,movie,APPROVED,1941,"November 12, 2019","Animation, Short, Comedy",English,USA,7.1
Leroy & Stitch,movie,G,2006,"November 12, 2019","Animation, Action, Adventure, Comedy, Drama, Family, Sci-Fi",English,USA,6.2
Let It Shine,movie,TV-G,2012,"November 12, 2019","Drama, Family, Music",English,USA,6.4
Life Below Zero,series,TV-PG,2013–,"November 12, 2019","Documentary, Adventure, Reality-TV",English,USA,8.0
Life Is Ruff,movie,TV-G,2005,"November 12, 2019","Comedy, Family",English,USA,4.9
Life with Mikey,movie,PG,1993,"November 12, 2019","Comedy, Family",English,USA,5.6
Life-Size 2,movie,TV-14,2018,"November 12, 2019","Comedy, Fantasy",English,USA,4.8
Lifted,movie,G,2006,"November 12, 2019","Animation, Short, Comedy, Family, Sci-Fi",None,USA,7.9
Lilo & Stitch,movie,PG,2002,"November 12, 2019","Animation, Adventure, Comedy, Drama, Family, Fantasy, Sci-Fi","English, Hawaiian",USA,7.2
Lilo & Stitch: The Series,series,TV-Y,2003–2006,"November 12, 2019","Animation, Action, Adventure, Comedy, Family, Sci-Fi",English,USA,6.7
Lilo & Stitch 2: Stitch Has a Glitch,movie,PG,2005,"November 12, 2019","Animation, Comedy, Drama, Family, Sci-Fi","English, French, Spanish",USA,6.3
Lizzie McGuire,series,TV-G,2001–2004,"November 12, 2019","Comedy, Drama, Family",English,USA,6.6
Loop,movie,PG,2020,"January 10, 2020","Animation, Short, Adventure, Family, Mystery",English,USA,6.7
Lou,movie,G,2017,"November 12, 2019","Animation, Short, Comedy, Family, Fantasy",English,USA,7.9
The Luck of the Irish,movie,TV-G,2001,"November 12, 2019","Adventure, Comedy, Drama, Family, Fantasy, Sport",English,USA,6.2
Playdate with Destiny,movie,G,2020,"April 10, 2020","Animation, Short, Comedy, Family, Romance",English,USA,6.7
Magician Mickey,movie,Approved,1937,"November 12, 2019","Family, Animation, Comedy, Short",English,USA,7.3
Mars Needs Moms,movie,PG,2011,"April 1, 2020","Animation, Action, Adventure, Family, Sci-Fi",English,USA,5.4
Spider-Man: The Animated Series,series,TV-Y,1994–1998,"November 12, 2019","Animation, Action, Adventure, Family, Sci-Fi",English,USA,8.3
The Incredible Hulk,series,TV-Y7,1996–1998,"November 12, 2019","Animation, Action, Adventure, Fantasy, Sci-Fi",English,USA,6.8
X-Men: The Animated Series,series,TV-Y7,1992–1997,"November 12, 2019","Animation, Action, Family, Sci-Fi, Thriller",English,"USA, Canada",8.4
Marvel Rising: Playing with Fire,movie,TV-Y7-FV,2019,"February 21, 2020","Animation, Action, Adventure, Sci-Fi",English,USA,5.5
Marvel Studios: Assembling a Universe,movie,TV-PG,2014,"November 12, 2019","Documentary, History",English,USA,7.6
Ant-Man,movie,PG-13,2015,"November 12, 2019","Action, Adventure, Comedy, Sci-Fi",English,USA,7.3
Avengers: Age of Ultron,movie,PG-13,2015,"November 12, 2019","Action, Adventure, Sci-Fi","English, Korean",USA,7.3
Avengers: Endgame,movie,PG-13,2019,"November 12, 2019","Action, Adventure, Drama, Sci-Fi","English, Japanese, Xhosa, German",USA,8.4
Black Panther,movie,PG-13,2018,"March 4, 2020","Action, Adventure, Sci-Fi","English, Swahili, Nama, Xhosa, Korean",USA,7.3
Captain America: Civil War,movie,PG-13,2016,"November 12, 2019","Action, Adventure, Sci-Fi","English, German, Xhosa, Russian, Romanian, Hindi",USA,7.8
Captain America: The First Avenger,movie,PG-13,2011,"November 12, 2019","Action, Adventure, Sci-Fi","English, Norwegian, French",USA,6.9
Captain America: The Winter Soldier,movie,PG-13,2014,"November 12, 2019","Action, Adventure, Sci-Fi, Thriller","English, French",USA,7.7
Captain Marvel,movie,PG-13,2019,"November 12, 2019","Action, Adventure, Sci-Fi",English,"USA, Australia",6.9
Doctor Strange,movie,PG-13,2016,"November 12, 2019","Action, Adventure, Fantasy, Sci-Fi",English,USA,7.5
Guardians of the Galaxy,movie,PG-13,2014,"November 12, 2019","Action, Adventure, Comedy, Sci-Fi",English,USA,8.0
Guardians of the Galaxy Vol. 2,movie,PG-13,2017,"November 12, 2019","Action, Adventure, Comedy, Sci-Fi",English,USA,7.6
Iron Man,movie,PG-13,2008,"November 12, 2019","Action, Adventure, Sci-Fi","Hungarian, Kurdish, Hindi, English, Persian, Urdu, Arabic",USA,7.9
Iron Man 2,movie,PG-13,2010,"November 12, 2019","Action, Adventure, Sci-Fi","English, French, Russian",USA,7.0
Iron Man 3,movie,PG-13,2013,"November 12, 2019","Action, Adventure, Sci-Fi",English,USA,7.2
The Avengers,movie,PG-13,2012,"November 12, 2019","Action, Adventure, Sci-Fi","English, Russian, Hindi",USA,8.0
Thor,movie,PG-13,2011,"November 12, 2019","Action, Adventure, Fantasy",English,USA,7.0
Thor: Ragnarok,movie,PG-13,2017,"December 5, 2019","Action, Adventure, Comedy, Fantasy, Sci-Fi",English,USA,7.9
Thor: The Dark World,movie,PG-13,2013,"November 12, 2019","Action, Adventure, Fantasy",English,USA,6.9
Ultimate Spider-Man,series,TV-Y7,2012–2017,"November 12, 2019","Animation, Action, Adventure, Comedy, Sci-Fi",English,USA,7.1
Agent Carter,series,TV-PG,2015–2016,"November 12, 2019","Action, Adventure, Sci-Fi",English,USA,7.9
Avengers Assemble,series,TV-Y7,2013–,"November 12, 2019","Animation, Action, Adventure, Sci-Fi",English,USA,7.0
Guardians of the Galaxy,series,TV-Y7,2015–,"November 12, 2019","Animation, Action, Adventure, Comedy, Drama, Family, Sci-Fi",English,USA,7.4
Marvel's Hero Project,series,TV-G,2019–,"November 12, 2019",Documentary,English,USA,6.2
Inhumans,series,TV-PG,2017,"November 12, 2019","Action, Adventure, Sci-Fi",English,USA,5.0
Iron Man & Hulk: Heroes United,movie,PG,2013,"February 16, 2020","Animation, Action, Adventure, Family, Sci-Fi",English,USA,4.7
Runaways,series,TV-14,2017–2019,"November 12, 2019","Action, Drama, Sci-Fi",English,USA,7.0
Spider-Man,series,TV-Y7,2017–,"November 12, 2019","Animation, Short, Action, Adventure, Family, Sci-Fi",English,USA,6.1
Mary Poppins,movie,G,1964,"November 12, 2019","Comedy, Family, Fantasy, Musical",English,USA,7.8
Mater and the Ghostlight,movie,G,2006,"November 12, 2019","Animation, Short, Comedy, Family, Horror",English,USA,6.6
Meet the Deedles,movie,PG,1998,"November 12, 2019","Comedy, Family",English,USA,4.1
Meet the Robinsons,movie,G,2007,"November 12, 2019","Animation, Adventure, Comedy, Family, Sci-Fi",English,USA,6.8
Melody Time,movie,Approved,1948,"November 12, 2019","Animation, Comedy, Family, Musical",English,USA,6.4
Mickey Mouse,series,TV-G,2013–,"November 12, 2019","Animation, Short, Comedy, Family",English,USA,8.1
The Mickey Mouse Club,series,TV-G,1955–1958,"November 12, 2019","Family, Comedy, Drama, Music",English,USA,7.7
Mickey Mouse Mixed-Up Adventures,series,TV-Y,2017–,"November 12, 2019","Animation, Short, Adventure, Comedy, Family, Sport",English,USA,6.2
"Mickey, Donald, Goofy: The Three Musketeers",movie,G,2004,"November 12, 2019","Animation, Adventure, Comedy, Family, Musical, Romance",English,USA,6.4
Mickey's Birthday Party,movie,Approved,1942,"November 12, 2019","Animation, Short, Comedy, Family",English,USA,6.6
Mickey's Christmas Carol,movie,G,1983,"November 12, 2019","Animation, Short, Comedy, Family, Fantasy",English,USA,8.1
Mickey's Once Upon a Christmas,movie,Not Rated,1999,"November 12, 2019","Animation, Comedy, Family, Fantasy",English,USA,7.2
Mickey's Rival,movie,Approved,1936,"November 12, 2019","Animation, Short, Comedy, Family, Romance",English,USA,6.9
Mickey's Trailer,movie,Not Rated,1938,"November 12, 2019","Animation, Short, Adventure, Comedy, Family",English,USA,7.9
Mickey's Twice Upon a Christmas,movie,G,2004,"November 12, 2019","Animation, Comedy, Family, Fantasy",English,USA,6.5
Mighty Joe Young,movie,PG,1998,"November 12, 2019","Action, Adventure, Family, Fantasy, Thriller","English, Swahili",USA,5.6
Mike's New Car,movie,Not Rated,2002,"November 12, 2019","Animation, Short, Comedy, Family, Fantasy",English,USA,7.1
Millions,movie,PG-13,2004,"November 12, 2019","Comedy, Crime, Drama, Family",English,UK,6.9
Minutemen,movie,TV-G,2008,"November 12, 2019","Adventure, Comedy, Family, Sci-Fi",English,USA,5.8
Miracle,movie,PG,2004,"November 12, 2019","Biography, Drama, History, Sport",English,"Canada, USA",7.5
Miracle in Lane 2,movie,G,2000,"November 12, 2019","Biography, Comedy, Drama, Family, Sport",English,USA,6.0
Miracle on 34th Street,movie,Not Rated,1947,"November 12, 2019","Comedy, Drama, Family","English, Dutch",USA,7.9
Moana,movie,PG,2016,"November 12, 2019","Animation, Adventure, Comedy, Family, Fantasy, Musical",English,USA,7.6
Mom's Got a Date with a Vampire,movie,TV-PG,2000,"November 12, 2019","Comedy, Family, Fantasy, Horror",English,"Canada, USA",5.9
Monsters University,movie,G,2013,"November 12, 2019","Animation, Adventure, Comedy, Family, Fantasy",English,USA,7.3
"Monsters, Inc.",movie,G,2001,"November 12, 2019","Animation, Adventure, Comedy, Family, Fantasy",English,USA,8.0
Motocrossed,movie,TV-G,2001,"November 12, 2019","Action, Adventure, Family",English,USA,6.6
Mr. Boogedy,episode,TV-PG,1986,"November 12, 2019","Adventure, Drama, Family",English,USA,7.3
Mr. Duck Steps Out,movie,TV-G,1940,"November 12, 2019","Animation, Short, Comedy",English,USA,7.5
Mulan,movie,G,1998,"November 12, 2019","Animation, Adventure, Family, Fantasy, Musical, War","English, Mandarin",USA,7.6
Mulan II,movie,G,2004,"November 12, 2019","Animation, Action, Comedy, Family, Musical",English,"USA, South Korea, Singapore, Russia, Malaysia, Kazakhstan, Taiwan, Hong Kong, Japan, China, India, Syria, Iran, Egypt, Pakistan",5.7
Muppet Treasure Island,movie,G,1996,"November 12, 2019","Action, Adventure, Comedy, Family, Musical, Romance",English,USA,7.0
Muppets Most Wanted,movie,PG,2014,"November 12, 2019","Adventure, Comedy, Crime, Family, Musical, Mystery","English, German",USA,6.4
My Favorite Martian,movie,PG,1999,"November 12, 2019","Comedy, Family, Sci-Fi",English,USA,5.1
My Friends Tigger & Pooh,series,TV-Y,2007–2010,"November 12, 2019","Animation, Short, Adventure, Family","English, Spanish, German, Japanese, French, Abkhazian, Portuguese",USA,5.7
National Treasure,movie,PG,2004,"April 30, 2020","Action, Adventure, Mystery, Thriller","English, Spanish",USA,6.8
National Treasure: Book of Secrets,movie,PG,2007,"November 12, 2019","Action, Adventure, Family, Mystery, Thriller","English, French",USA,6.5
Nature's Half Acre,movie,PASSED,1951,"May 1, 2020","Documentary, Short, Family",English,USA,7.7
Newsies,movie,PG,1992,"November 12, 2019","Drama, Family, History, Musical",English,USA,7.0
Disney's Newsies: The Broadway Musical!,movie,PG,2017,"November 12, 2019",Musical,English,USA,8.5
Noelle,movie,G,2019,"November 12, 2019","Comedy, Family, Fantasy",English,USA,6.2
Now You See It...,movie,TV-G,2005,"November 12, 2019","Drama, Family, Fantasy, Mystery",English,USA,6.3
Olaf's Frozen Adventure,movie,G,2017,"November 12, 2019","Animation, Short, Adventure, Comedy, Family, Fantasy, Musical",English,USA,5.5
Old Dogs,movie,PG,2009,"February 9, 2020","Comedy, Family","English, Ukrainian",USA,5.4
Old Yeller,movie,Approved,1957,"November 12, 2019","Adventure, Drama, Family, Western",English,USA,7.3
Oliver & Company,movie,G,1988,"November 12, 2019","Animation, Adventure, Comedy, Family, Musical",English,USA,6.7
Once Upon a Mattress,movie,PG,2005,"November 12, 2019","Comedy, Musical, Romance",English,USA,6.4
One Hundred and One Dalmatians,movie,G,1961,"November 12, 2019","Animation, Adventure, Comedy, Family",English,USA,7.2
One Magic Christmas,movie,G,1985,"November 12, 2019","Family, Fantasy",English,"Canada, USA",6.6
One Man Band,movie,G,2005,"November 12, 2019","Animation, Short, Comedy, Family, Music",None,USA,7.7
One Strange Rock,series,TV-PG,2018–,"January 1, 2020",Documentary,"English, Spanish, Indonesian, Chinese, Arabic, Russian, Hindi, Tibetan, Portuguese, French, Thai, Norwegian, Italian, Japanese, Mongolian, Kazakh",USA,8.8
Onward,movie,PG,2020,"April 3, 2020","Animation, Adventure, Comedy, Family, Fantasy",English,USA,7.5
Operation Dumbo Drop,movie,PG,1995,"November 12, 2019","Action, Adventure, Comedy, Drama, Family, War","English, Vietnamese",USA,5.1
Out of the Box,series,TV-Y,1998–2004,"November 12, 2019","Comedy, Family",English,USA,7.5
Partly Cloudy,movie,G,2009,"November 12, 2019","Animation, Short, Comedy, Family, Fantasy",None,USA,8.2
Party Central,movie,PG,2014,"November 12, 2019","Animation, Short, Adventure, Comedy, Family, Fantasy",English,USA,7.1
Penguins: Life on the Edge,movie,G,2020,"April 3, 2020","Documentary, Family",English,USA,6.7
Perri,movie,Approved,1957,"November 12, 2019","Adventure, Family, Fantasy, Romance",English,USA,7.2
Pete's Dragon,movie,G,1977,"October 1, 2019","Animation, Adventure, Comedy, Family, Fantasy, Musical",English,USA,6.4
Pete's Dragon,movie,PG,2016,"November 12, 2019","Action, Adventure, Comedy, Drama, Family, Fantasy",English,USA,6.7
Peter Pan,movie,G,1953,"November 12, 2019","Animation, Adventure, Family, Fantasy, Musical","English, American Sign Language",USA,7.3
Peter Pan 2: Return to Never Land,movie,G,2002,"November 12, 2019","Animation, Adventure, Family, Fantasy",English,"USA, Canada, Australia",5.8
Phantom of the Megaplex,movie,TV-G,2000,"November 12, 2019","Action, Comedy, Family, Mystery",English,"USA, Canada",6.5
Phil of the Future,series,TV-G,2004–2006,"November 12, 2019","Adventure, Comedy, Family, Sci-Fi",English,USA,7.0
Phineas and Ferb,series,TV-G,2007–2015,"November 12, 2019","Animation, Action, Comedy, Family, Musical, Sci-Fi",English,USA,7.9
Phineas and Ferb the Movie: Across the 2nd Dimension,movie,TV-G,2011,"November 12, 2019","Animation, Action, Adventure, Comedy, Family, Musical, Sci-Fi",English,USA,7.4
Piglet's Big Movie,movie,G,2003,"November 12, 2019","Animation, Adventure, Comedy, Family, Musical, Mystery",English,USA,6.1
Pinocchio,movie,G,1940,"November 12, 2019","Animation, Comedy, Family, Fantasy, Musical",English,USA,7.4
Piper,movie,G,2016,"November 12, 2019","Animation, Short, Family",None,USA,8.4
Pirates of the Caribbean: At World's End,movie,PG-13,2007,"November 12, 2019","Action, Adventure, Fantasy",English,USA,7.1
Pirates of the Caribbean: Dead Man's Chest,movie,PG-13,2006,"November 12, 2019","Action, Adventure, Fantasy","English, Turkish, Greek, Mandarin, French",USA,7.3
Pirates of the Caribbean: On Stranger Tides,movie,PG-13,2011,"May 1, 2020","Action, Adventure, Fantasy","English, Spanish","USA, UK",6.6
Pirates of the Caribbean: The Curse of the Black Pearl,movie,PG-13,2003,"November 12, 2019","Action, Adventure, Fantasy",English,USA,8.0
Pixar in Real Life,series,TV-G,2019–,"November 12, 2019","Comedy, Family, Reality-TV",English,USA,6.7
Pixel Perfect,movie,TV-G,2004,"November 12, 2019","Family, Sci-Fi, Comedy, Fantasy, Music","English, German",USA,5.7
PJ Masks,series,TV-Y,2015–,"November 12, 2019","Animation, Action, Adventure, Family, Fantasy, Sci-Fi","French, English","France, UK",5.7
Pluto's Christmas Tree,movie,Approved,1952,"November 12, 2019","Animation, Short, Comedy, Family, Fantasy",English,USA,7.7
Pluto's Party,movie,Approved,1952,"April 3, 2020","Animation, Short, Comedy, Family",English,USA,6.5
Pocahontas,movie,G,1995,"November 12, 2019","Animation, Adventure, Drama, Family, Musical, Romance","English, Algonquin",USA,6.7
Pocahontas II: Journey to a New World,movie,G,1998,"November 12, 2019","Animation, Adventure, Drama, Family, Musical, Romance",English,USA,4.9
Pollyanna,movie,Approved,1960,"November 12, 2019","Comedy, Drama, Family",English,USA,7.4
Pooh's Grand Adventure: The Search for Christopher Robin,movie,G,1997,"November 12, 2019","Animation, Adventure, Comedy, Family, Musical",English,USA,7.1
Pooh's Heffalump Movie,movie,G,2005,"November 12, 2019","Animation, Comedy, Family, Fantasy, Musical, Mystery",English,USA,6.4
Presto,movie,G,2008,"November 12, 2019","Animation, Short, Comedy, Family, Fantasy",English,USA,8.4
Princess Protection Program,movie,TV-G,2009,"November 12, 2019","Comedy, Drama, Family",English,USA,5.6
Prom,movie,PG,2011,"April 1, 2020","Comedy, Drama, Family, Romance",English,USA,5.4
Prowlers of the Everglades,movie,Approved,1953,"May 1, 2020","Documentary, Short, Family",English,USA,8.1
Puppy Dog Pals,series,TV-Y,2017–,"November 12, 2019","Animation, Family",English,USA,7.1
Purl,movie,PG,2018,"November 12, 2019","Animation, Short, Comedy, Family",English,USA,6.4
Quack Pack,series,TV-Y,1996–1997,"November 12, 2019","Animation, Short, Adventure, Comedy, Family",English,USA,6.8
Queen of Katwe,movie,PG,2016,"November 12, 2019","Biography, Drama, Sport",English,USA,7.4
Quints,movie,TV-G,2000,"November 12, 2019","Comedy, Drama, Family",English,"Canada, USA",5.7
Ratatouille,movie,G,2007,"November 12, 2019","Animation, Adventure, Comedy, Drama, Family, Fantasy","English, French",USA,8.0
Read It and Weep,movie,TV-G,2006,"November 12, 2019","Comedy, Drama, Family",English,USA,5.5
Ready to Run,movie,TV-G,2000,"November 12, 2019","Family, Sport",English,"USA, New Zealand",5.3
Recess: All Growed Down,movie,G,2003,"November 12, 2019","Animation, Comedy, Family",English,USA,6.7
Recess: School's Out,movie,G,2001,"November 12, 2019","Animation, Comedy, Family",English,"USA, Japan",6.6
Recess: Taking the Fifth Grade,movie,G,2003,"November 12, 2019","Animation, Comedy, Family",English,USA,6.8
Red Tails,movie,PG-13,2012,"January 1, 2020","Action, Drama, History, War","English, Italian, German",USA,5.9
Red's Dream,movie,G,1987,"November 12, 2019","Animation, Short, Family",English,USA,6.4
Remember the Titans,movie,PG,2000,"November 12, 2019","Biography, Drama, Sport",English,USA,7.8
Return from Witch Mountain,movie,G,1978,"November 12, 2019","Family, Adventure, Sci-Fi, Fantasy",English,USA,5.9
Return to Halloweentown,movie,TV-PG,2006,"November 12, 2019","Comedy, Family, Fantasy",English,USA,5.6
Return to Oz,movie,PG,1985,"November 12, 2019","Adventure, Family, Fantasy, Horror, Mystery",English,"UK, USA",6.7
Richie Rich's Christmas Wish,movie,G,1998,"November 12, 2019","Comedy, Family",English,USA,4.1
Right on Track,movie,TV-G,2003,"November 12, 2019","Biography, Drama, Family",English,USA,6.3
Rip Girls,movie,TV-G,2000,"November 12, 2019","Drama, Family, Romance",English,"Australia, USA",6.2
Robin Hood,movie,G,1973,"November 12, 2019","Animation, Adventure, Comedy, Family, Romance","English, Portuguese",USA,7.6
Rogue One: A Star Wars Story,movie,PG-13,2016,"November 12, 2019","Action, Adventure, Sci-Fi",English,USA,7.8
Rookie of the Year,movie,PG,1993,"November 12, 2019","Comedy, Family, Fantasy, Sport",English,USA,6.0
Roving Mars,movie,G,2006,"November 12, 2019","Documentary, Short",English,USA,7.2
Running Wild with Bear Grylls,series,TV-14,2014–,"April 10, 2020","Adventure, Comedy, Reality-TV, Talk-Show",English,USA,7.7
Sacred Planet,movie,G,2004,"November 12, 2019","Documentary, Short",English,"Canada, Malaysia, USA",6.0
Saludos Amigos,movie,Approved,1942,"November 12, 2019","Animation, Short, Family, Fantasy, Music","English, Portuguese",USA,6.2
"Sammy, the Way-Out Seal: Part 1",episode,UNRATED,1962,"November 12, 2019","Adventure, Biography, Drama",English,USA,6.5
Sanjay's Super Team,movie,PG,2015,"November 12, 2019","Animation, Short, Action, Family, Fantasy, Thriller",English,USA,6.9
Santa Paws 2: The Santa Pups,movie,G,2012,"November 12, 2019","Adventure, Family",English,USA,4.9
Saving Mr. Banks,movie,PG-13,2013,"November 12, 2019","Biography, Comedy, Drama",English,"USA, UK, Australia",7.5
Science Fair,movie,PG,2018,"November 12, 2019",Documentary,English,USA,7.7
Secret of the Wings,movie,G,2012,"November 12, 2019","Animation, Family, Fantasy",English,"USA, India, UK",7.1
Secretariat,movie,PG,2010,"November 12, 2019","Biography, Drama, Family, History, Sport",English,USA,7.2
Secrets of Life,movie,Passed,1956,"November 12, 2019","Documentary, Family",English,USA,7.8
Shake It Up,series,TV-G,2010–2013,"November 12, 2019","Comedy, Family",English,USA,4.8
Sharpay's Fabulous Adventure,movie,G,2011,"November 12, 2019","Comedy, Drama, Family, Music, Musical, Romance",English,USA,4.7
Sheriff Callie's Wild West,series,TV-Y,2014–,"December 1, 2019","Animation, Short, Action, Adventure, Comedy, Family, Musical, Western","English, French","USA, South Korea, France",6.5
Shipwrecked,movie,PG,1990,"November 12, 2019","Adventure, Family",English,"Norway, Sweden, USA",6.7
Silver Surfer,series,TV-Y7,1998,"November 12, 2019","Animation, Sci-Fi, Action, Thriller",English,"USA, Canada",7.1
The Simpsons Movie,movie,PG-13,2007,"November 12, 2019","Animation, Adventure, Comedy",English,USA,7.3
Sister Act,movie,PG,1992,"November 12, 2019","Comedy, Crime, Family, Music",English,USA,6.4
Sister Act 2: Back in the Habit,movie,PG,1993,"November 12, 2019","Comedy, Family, Music",English,USA,5.6
Skyrunners,movie,TV-PG,2009,"November 12, 2019","Family, Sci-Fi",English,USA,5.0
